pfa_glrt,pd_glrt,pfa_ed,pd_ed
0.9995,1.0,0.9995,1.0
0.872,0.8735,0.9995,0.9995
0.8205,0.8195,0.9995,0.9995
0.776,0.776,0.9995,0.9995
0.7475,0.748,0.9995,0.9995
0.7265,0.727,0.9995,0.9995
0.7055,0.7055,0.9995,0.9995
0.6865,0.6865,0.9995,0.9995
0.6695,0.6685,0.9995,0.9995
0.653,0.6535,0.999,0.999
0.6385,0.6375,0.999,0.999
0.6205,0.6195,0.999,0.999
0.602,0.6035,0.999,0.999
0.586,0.587,0.999,0.999
0.572,0.5725,0.999,0.999
0.557,0.558,0.9985,0.9985
0.544,0.544,0.998,0.998
0.5315,0.531,0.998,0.998
0.5185,0.5175,0.998,0.998
0.5075,0.5065,0.998,0.998
0.4945,0.4955,0.998,0.998
0.487,0.4865,0.998,0.998
0.4775,0.4775,0.998,0.998
0.467,0.468,0.998,0.998
0.4545,0.455,0.998,0.998
0.4475,0.4485,0.998,0.998
0.435,0.4355,0.998,0.998
0.4285,0.429,0.998,0.998
0.4185,0.418,0.998,0.998
0.413,0.4125,0.998,0.998
0.407,0.4075,0.998,0.998
0.4,0.4015,0.998,0.998
0.3905,0.391,0.998,0.998
0.385,0.3845,0.998,0.998
0.3795,0.3795,0.998,0.998
0.374,0.3745,0.998,0.998
0.3675,0.3675,0.9975,0.9975
0.3615,0.363,0.9975,0.9975
0.3555,0.3545,0.9975,0.9975
0.3515,0.352,0.9975,0.9975
0.346,0.344,0.9975,0.9975
0.339,0.338,0.9975,0.9975
0.334,0.3335,0.9975,0.9975
0.329,0.328,0.9975,0.9975
0.323,0.324,0.9975,0.9975
0.317,0.317,0.9975,0.9975
0.309,0.31,0.997,0.9965
0.304,0.305,0.9965,0.9965
0.299,0.3,0.9965,0.9965
0.2915,0.2915,0.9965,0.9965
0.285,0.2855,0.9965,0.996
0.282,0.2815,0.996,0.996
0.277,0.2775,0.996,0.996
0.274,0.274,0.9955,0.996
0.272,0.2705,0.9955,0.9955
0.265,0.2665,0.995,0.9955
0.2605,0.26,0.995,0.995
0.258,0.2585,0.995,0.995
0.2535,0.2535,0.9945,0.995
0.2495,0.25,0.9945,0.9945
0.2445,0.245,0.9945,0.994
0.241,0.24,0.9935,0.9935
0.2365,0.2365,0.9925,0.993
0.2315,0.232,0.9915,0.992
0.229,0.2295,0.9905,0.9915
0.2275,0.2275,0.9905,0.9915
0.2245,0.2245,0.9895,0.9915
0.2195,0.2195,0.9895,0.989
0.215,0.2155,0.9895,0.989
0.2115,0.2115,0.989,0.989
0.2095,0.209,0.988,0.9875
0.2065,0.2065,0.987,0.9875
0.204,0.204,0.9865,0.987
0.202,0.2015,0.9865,0.9865
0.2,0.201,0.986,0.9865
0.1985,0.198,0.985,0.986
0.1975,0.1965,0.984,0.985
0.1935,0.195,0.984,0.9845
0.192,0.191,0.9835,0.9845
0.1885,0.188,0.9835,0.9835
0.1835,0.1835,0.9825,0.983
0.1795,0.179,0.9815,0.9825
0.175,0.175,0.9805,0.982
0.173,0.173,0.9805,0.9805
0.1715,0.1715,0.979,0.9795
0.168,0.1675,0.9785,0.979
0.165,0.166,0.9785,0.979
0.1625,0.163,0.9785,0.979
0.1615,0.1605,0.9775,0.978
0.1605,0.1605,0.977,0.9765
0.1595,0.1595,0.9755,0.976
0.157,0.156,0.9745,0.9755
0.153,0.1535,0.9745,0.9745
0.1525,0.151,0.9725,0.9735
0.149,0.148,0.9725,0.972
0.1455,0.1455,0.972,0.972
0.1435,0.1435,0.97,0.971
0.1415,0.142,0.969,0.969
0.1395,0.139,0.9685,0.9685
0.137,0.1375,0.9675,0.9675
0.135,0.1355,0.9655,0.967
0.1335,0.1335,0.9645,0.964
0.1325,0.1325,0.9635,0.964
0.1315,0.1315,0.9625,0.9625
0.129,0.13,0.9615,0.9615
0.127,0.1275,0.96,0.961
0.1265,0.1265,0.9595,0.9605
0.125,0.125,0.959,0.959
0.1225,0.1225,0.9585,0.9585
0.119,0.12,0.9575,0.956
0.116,0.116,0.955,0.954
0.1145,0.1145,0.9535,0.9535
0.112,0.113,0.9515,0.9535
0.109,0.109,0.95,0.9515
0.108,0.1085,0.9485,0.9495
0.107,0.1075,0.947,0.9465
0.1065,0.1065,0.9465,0.9455
0.1045,0.1045,0.945,0.945
0.1035,0.1035,0.9435,0.9445
0.1025,0.1025,0.942,0.9435
0.0995,0.099,0.9395,0.943
0.0985,0.099,0.938,0.9395
0.0975,0.0975,0.936,0.9375
0.0965,0.096,0.935,0.935
0.0945,0.095,0.9335,0.9335
0.0935,0.0935,0.932,0.933
0.0935,0.0935,0.928,0.928
0.092,0.0925,0.925,0.927
0.0915,0.091,0.9225,0.9245
0.0905,0.0895,0.9195,0.9215
0.089,0.089,0.9165,0.919
0.0885,0.0875,0.915,0.917
0.0875,0.087,0.9135,0.915
0.085,0.085,0.911,0.9135
0.084,0.084,0.909,0.9105
0.0835,0.0835,0.906,0.909
0.0825,0.082,0.9055,0.908
0.0805,0.081,0.9015,0.9045
0.0795,0.0795,0.8975,0.9025
0.0785,0.079,0.894,0.9
0.0775,0.078,0.8915,0.894
0.077,0.077,0.889,0.892
0.0755,0.076,0.887,0.89
0.075,0.075,0.885,0.886
0.074,0.073,0.8845,0.8845
0.0725,0.0725,0.881,0.8805
0.0715,0.0715,0.876,0.877
0.0705,0.07,0.8715,0.874
0.07,0.07,0.8665,0.871
0.0695,0.0695,0.863,0.8675
0.068,0.0685,0.8605,0.864
0.067,0.0665,0.8585,0.8625
0.0665,0.0665,0.8565,0.859
0.066,0.066,0.8535,0.8545
0.065,0.0655,0.85,0.852
0.065,0.065,0.847,0.849
0.0645,0.0645,0.8435,0.8445
0.062,0.0625,0.842,0.8425
0.0605,0.0605,0.837,0.839
0.0605,0.06,0.8345,0.8355
0.0585,0.0585,0.831,0.834
0.0575,0.0575,0.827,0.8305
0.0565,0.0565,0.8215,0.825
0.0565,0.056,0.819,0.8215
0.0555,0.0555,0.814,0.817
0.0545,0.0545,0.811,0.816
0.054,0.054,0.809,0.811
0.0535,0.054,0.804,0.8065
0.0535,0.0535,0.801,0.8015
0.0535,0.053,0.798,0.8005
0.053,0.053,0.795,0.797
0.052,0.053,0.7885,0.794
0.052,0.052,0.7835,0.7895
0.052,0.0515,0.7825,0.784
0.051,0.051,0.772,0.779
0.0495,0.05,0.768,0.774
0.047,0.0475,0.761,0.766
0.0465,0.0465,0.758,0.762
0.0435,0.0445,0.755,0.759
0.043,0.043,0.7525,0.754
0.0425,0.043,0.7485,0.75
0.041,0.0415,0.7435,0.747
0.0405,0.0405,0.7385,0.741
0.0405,0.0405,0.7345,0.7375
0.0395,0.04,0.731,0.7355
0.039,0.039,0.727,0.7315
0.0385,0.0385,0.7205,0.724
0.038,0.038,0.7145,0.7175
0.037,0.037,0.7095,0.713
0.036,0.037,0.7075,0.7045
0.036,0.036,0.7,0.701
0.036,0.036,0.695,0.6955
0.036,0.036,0.6895,0.6935
0.0355,0.0355,0.685,0.686
0.0355,0.0355,0.6775,0.679
0.034,0.0345,0.6705,0.6725
0.0335,0.034,0.6655,0.669
0.0335,0.0335,0.66,0.665
0.0325,0.033,0.655,0.6585
0.032,0.032,0.651,0.653
0.0305,0.0305,0.643,0.651
0.03,0.0305,0.637,0.646
0.0295,0.0295,0.632,0.6345
0.029,0.0285,0.6275,0.629
0.028,0.0285,0.6225,0.625
0.028,0.028,0.6165,0.6205
0.027,0.027,0.6115,0.614
0.027,0.027,0.6075,0.611
0.027,0.027,0.603,0.606
0.027,0.0265,0.598,0.602
0.026,0.026,0.5925,0.594
0.026,0.026,0.5865,0.5865
0.0255,0.0255,0.5775,0.582
0.0245,0.0245,0.5705,0.5745
0.024,0.0245,0.563,0.568
0.024,0.024,0.561,0.5615
0.024,0.024,0.5535,0.555
0.024,0.024,0.547,0.549
0.024,0.024,0.541,0.5435
0.024,0.024,0.537,0.54
0.024,0.024,0.5315,0.5325
0.0235,0.0235,0.5265,0.5265
0.0235,0.0235,0.5195,0.5225
0.023,0.023,0.5165,0.52
0.023,0.023,0.511,0.515
0.023,0.0225,0.5075,0.5095
0.0225,0.0225,0.5005,0.506
0.022,0.022,0.4975,0.5015
0.022,0.0215,0.4915,0.492
0.021,0.021,0.485,0.4865
0.0205,0.0205,0.4765,0.4815
0.0205,0.02,0.468,0.4725
0.0195,0.0195,0.462,0.4645
0.0195,0.0195,0.4595,0.4575
0.0195,0.0195,0.4515,0.451
0.019,0.019,0.447,0.447
0.019,0.019,0.4385,0.4425
0.0185,0.0185,0.433,0.437
0.0185,0.0185,0.43,0.4335
0.018,0.018,0.4265,0.4295
0.018,0.018,0.421,0.426
0.0175,0.017,0.4145,0.4185
0.016,0.016,0.4115,0.414
0.016,0.016,0.409,0.4095
0.016,0.016,0.4025,0.4055
0.016,0.0155,0.398,0.4015
0.0155,0.015,0.395,0.397
0.015,0.015,0.3905,0.392
0.015,0.015,0.386,0.387
0.0145,0.0145,0.378,0.3825
0.0145,0.0145,0.3715,0.3755
0.014,0.014,0.362,0.3675
0.014,0.014,0.356,0.3625
0.0135,0.0135,0.352,0.3555
0.0135,0.0135,0.3475,0.351
0.0135,0.0135,0.342,0.3435
0.0135,0.0135,0.3345,0.336
0.0135,0.0135,0.3285,0.3305
0.0135,0.0135,0.3235,0.3275
0.013,0.013,0.318,0.3225
0.013,0.013,0.314,0.3175
0.013,0.0125,0.3085,0.3105
0.0125,0.0125,0.3045,0.3055
0.0125,0.0125,0.2965,0.2995
0.0125,0.0125,0.292,0.293
0.0125,0.0125,0.2855,0.29
0.012,0.0125,0.283,0.285
0.0115,0.012,0.2785,0.2815
0.0115,0.0115,0.2745,0.276
0.0115,0.0115,0.27,0.2725
0.0115,0.0115,0.2655,0.2675
0.011,0.0115,0.263,0.2615
0.011,0.011,0.259,0.258
0.011,0.011,0.254,0.256
0.011,0.011,0.2515,0.2535
0.0105,0.0105,0.2495,0.2485
0.0105,0.0105,0.246,0.2445
0.0105,0.0105,0.2375,0.239
0.0105,0.0105,0.2325,0.2355
0.01,0.01,0.228,0.234
0.0095,0.01,0.2245,0.2285
0.0095,0.009,0.2215,0.2245
0.009,0.009,0.217,0.2185
0.009,0.009,0.212,0.2135
0.009,0.009,0.208,0.211
0.009,0.009,0.2025,0.2055
0.009,0.009,0.2,0.2025
0.009,0.009,0.196,0.1985
0.0085,0.009,0.194,0.195
0.0085,0.0085,0.1905,0.1925
0.0085,0.0085,0.1865,0.1885
0.0085,0.0085,0.1835,0.185
0.0085,0.0085,0.1785,0.182
0.0085,0.0085,0.175,0.177
0.0085,0.0085,0.1715,0.174
0.0085,0.0085,0.1705,0.17
0.0085,0.0085,0.1665,0.166
0.008,0.008,0.1635,0.1635
0.0075,0.0075,0.1605,0.159
0.007,0.0075,0.1555,0.1555
0.007,0.007,0.1515,0.1515
0.007,0.007,0.1485,0.149
0.007,0.007,0.1445,0.1465
0.007,0.007,0.142,0.144
0.007,0.007,0.14,0.142
0.007,0.007,0.137,0.139
0.007,0.007,0.136,0.137
0.007,0.007,0.132,0.135
0.007,0.007,0.128,0.133
0.007,0.007,0.125,0.128
0.007,0.007,0.1215,0.1225
0.007,0.007,0.1175,0.117
0.007,0.007,0.113,0.115
0.0065,0.0065,0.112,0.1135
0.0065,0.0065,0.109,0.1125
0.006,0.006,0.1085,0.1105
0.006,0.006,0.1065,0.107
0.006,0.006,0.104,0.1045
0.006,0.006,0.1025,0.1045
0.006,0.006,0.0995,0.102
0.006,0.006,0.0965,0.0965
0.006,0.006,0.0935,0.094
0.006,0.006,0.0905,0.092
0.0055,0.0055,0.088,0.0895
0.0055,0.0055,0.087,0.0885
0.0055,0.0055,0.0855,0.0875
0.0055,0.0055,0.084,0.0835
0.0045,0.0045,0.0815,0.0825
0.004,0.0045,0.0815,0.08
0.004,0.004,0.0805,0.079
0.004,0.004,0.0765,0.0785
0.004,0.004,0.075,0.0765
0.004,0.004,0.073,0.074
0.004,0.004,0.072,0.073
0.0035,0.0035,0.0705,0.0705
0.0035,0.0035,0.068,0.0695
0.0035,0.0035,0.067,0.069
0.003,0.0035,0.0655,0.0675
0.003,0.003,0.0645,0.066
0.003,0.003,0.063,0.0645
0.003,0.003,0.06,0.0625
0.003,0.003,0.057,0.0605
0.003,0.003,0.057,0.057
0.003,0.003,0.057,0.0565
0.003,0.003,0.056,0.0555
0.003,0.003,0.053,0.0535
0.003,0.003,0.0515,0.0535
0.003,0.003,0.0495,0.0505
0.003,0.003,0.047,0.0485
0.003,0.003,0.046,0.047
0.003,0.003,0.044,0.0455
0.003,0.003,0.0425,0.043
0.003,0.003,0.0415,0.0425
0.003,0.003,0.041,0.0415
0.003,0.003,0.0395,0.041
0.003,0.003,0.039,0.041
0.003,0.003,0.039,0.0395
0.003,0.003,0.0385,0.039
0.003,0.003,0.038,0.038
0.003,0.003,0.036,0.0375
0.003,0.003,0.034,0.0355
0.003,0.003,0.0335,0.0345
0.003,0.003,0.0325,0.033
0.003,0.003,0.032,0.032
0.003,0.003,0.0305,0.032
0.003,0.003,0.0285,0.031
0.003,0.003,0.028,0.0295
0.003,0.003,0.0265,0.028
0.003,0.003,0.0265,0.0265
0.003,0.003,0.0265,0.026
0.003,0.003,0.026,0.026
0.003,0.003,0.0255,0.0255
0.003,0.003,0.024,0.024
0.003,0.003,0.0235,0.024
0.003,0.003,0.023,0.0235
0.0025,0.0025,0.0215,0.023
0.0025,0.0025,0.0215,0.022
0.0025,0.0025,0.021,0.0215
0.0025,0.0025,0.021,0.021
0.0025,0.0025,0.02,0.0205
0.0025,0.0025,0.02,0.02
0.0025,0.0025,0.0195,0.02
0.002,0.0015,0.0185,0.0195
0.0015,0.0015,0.0175,0.018
0.0015,0.0015,0.0175,0.0175
0.0015,0.0015,0.0165,0.017
0.0015,0.0015,0.0165,0.017
0.0015,0.0015,0.0165,0.016
0.0015,0.0015,0.0155,0.016
0.0015,0.0015,0.015,0.0155
0.0015,0.0015,0.0145,0.015
0.0015,0.0015,0.014,0.0145
0.0015,0.0015,0.013,0.014
0.0015,0.0015,0.013,0.0135
0.0015,0.0015,0.013,0.013
0.0015,0.0015,0.0125,0.013
0.0015,0.0015,0.0125,0.0125
0.0015,0.0015,0.0125,0.0125
0.0015,0.0015,0.0125,0.0125
0.0015,0.001,0.0125,0.0125
0.001,0.001,0.0125,0.012
0.001,0.0005,0.0125,0.0115
0.0005,0.0005,0.012,0.011
0.0005,0.0005,0.0105,0.011
0.0005,0.0005,0.0095,0.011
0.0005,0.0005,0.009,0.0095
0.0005,0.0005,0.009,0.009
0.0005,0.0005,0.0085,0.0085
0.0005,0.0005,0.008,0.0085
0.0005,0.0005,0.008,0.008
0.0005,0.0005,0.008,0.008
0.0005,0.0005,0.0075,0.008
0.0005,0.0005,0.007,0.0075
0.0005,0.0005,0.007,0.0075
0.0005,0.0005,0.0065,0.0065
0.0005,0.0005,0.006,0.0065
0.0005,0.0005,0.006,0.0065
0.0005,0.0005,0.006,0.006
0.0005,0.0005,0.0055,0.0055
0.0005,0.0005,0.0045,0.005
0.0005,0.0005,0.004,0.005
0.0005,0.0005,0.0035,0.004
0.0005,0.0005,0.0035,0.004
0.0005,0.0005,0.003,0.0035
0.0005,0.0005,0.003,0.0035
0.0005,0.0005,0.003,0.003
0.0005,0.0005,0.003,0.003
0.0005,0.0005,0.003,0.003
0.0005,0.0005,0.0025,0.0025
0.0005,0.0005,0.0025,0.0025
0.0005,0.0005,0.002,0.0015
0.0005,0.0005,0.002,0.0015
0.0005,0.0005,0.002,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.001,0.0015
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0,0.0005
0.0,0.0,0.0,0.0
